name,description,price,department,imageUrl
Amul Milk 1L,Fresh cow milk,65,Dairy,https://img.freepik.com/free-vector/paper-style-podium-horizontal-banner_23-2150956911.jpg
Fresh Bread,Whole wheat bread,45,Bakery,https://img.freepik.com/free-vector/paper-style-podium-horizontal-banner_23-2150956911.jpg
Rice 5kg,Long grain rice,399,Grocery,https://img.freepik.com/free-vector/paper-style-podium-horizontal-banner_23-2150956911.jpg
Wheat Flour 5kg,Pure atta,249,Grocery,https://picsum.photos/seed/flour/400/300
Apple 1kg,Fresh red apples,120,Fruit,https://picsum.photos/seed/apple/400/300
Banana 1 Dozen,Fresh bananas,60,Fruit,https://picsum.photos/seed/banana/400/300
Shampoo 200ml,Herbal shampoo,199,PersonalCare,https://picsum.photos/seed/shampoo/400/300
Sugar 5kg,Refined sugar,280,Grocery,https://picsum.photos/seed/sugar/400/300
Butter 200g,Salted butter,160,Dairy,https://picsum.photos/seed/butter/400/300
Cheese Slices,Processed cheese,160,Dairy,https://picsum.photos/seed/cheese/400/300
Vegetable Oil 1L,Refined oil,145,Grocery,https://picsum.photos/seed/oil/400/300
Cold Drink 2L,Soft drink,95,Beverages,https://picsum.photos/seed/cola/400/300
